,cname,ccodealp,ht_region,gle_cgdpc,undp_hdi,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph,flagnull
150,Saudi Arabia,SAU,3,20872.711,0.84500003,30.77000045776367,7.400000095367432,0.090000004,17.1,4.684084892272949,False
151,Senegal,SEN,4,1527.99,0.491,NaN,45.20000076293945,0.25999999,11.1,4.664971828460693,True
152,Serbia,SRB,1,11343.92,0.77499998,7.166999816894531,5.699999809265137,9.0900002,42.099998,10.36881160736084,False
153,Seychelles,SYC,4,9583.3203,0.78100002,0.0900000035762787,11.19999980926514,9.7200003,26.700001,3.369816780090332,False
154,Sierra Leone,SLE,4,979.95001,0.43099999,6.23199987411499,117.4000015258789,3.78,34.400002,11.0899019241333,False
155,Singapore,SGP,7,54268.148,0.92400002,5.46999979019165,2.299999952316284,1.83,16.200001,4.922791957855225,False
156,Slovakia,SVK,1,21776.34,0.84200001,5.415999889373779,6.300000190734863,10.6,28.799999,8.054047584533691,False
157,Vietnam,VNM,7,4147.5698,0.67799997,89.69100189208984,18.39999961853027,4.0900002,23.700001,7.066778182983398,False
158,Slovenia,SVN,1,24456.561,0.88800001,2.061000108718872,2.5,10.46,20.9,9.23388671875,False
159,Somalia,SOM,4,1436.74,NaN,NaN,NaN,0.0,NaN,NaN,True
160,South Africa,ZAF,4,8820.0596,0.66500002,54.14699935913086,33.29999923706055,7.3800001,18.9,8.796984672546387,False
161,Zimbabwe,ZWE,4,15997.67,0.50700003,12.45899963378906,55.70000076293945,6.5,NaN,6.439471244812012,False
162,Spain,ESP,5,31086.35,0.88200003,46.45500183105469,3.799999952316284,9.25,30.299999,9.02988624572754,False
163,South Sudan,SSD,4,NaN,0.421,NaN,NaN,NaN,NaN,2.738420724868774,True
164,Sudan (2012-),SDN,4,NaN,0.48800001,NaN,NaN,NaN,NaN,8.4287748336792,True
165,Suriname,SUR,10,6049.1499,0.72299999,0.546999990940094,18.5,6.3200002,NaN,5.687469959259033,False
166,Swaziland,SWZ,4,4110.0498,0.54100001,1.105999946594238,55.70000076293945,5.1999998,10.2,9.25193977355957,False
167,Sweden,SWE,5,39000.91,0.90899998,9.645000457763672,2.299999952316284,7.3000002,21.9,11.92984008789063,False
168,Switzerland,CHE,5,50454.41,0.93800002,8.140000343322754,3.700000047683716,9.6099997,24.1,11.65926837921143,False
169,Syria,SYR,3,4284.4199,0.55299997,NaN,14.19999980926514,0.75999999,NaN,3.254531145095825,True
170,Tajikistan,TJK,1,3592.6499,0.625,8.131999969482422,49.0,0.31999999,NaN,6.880884170532227,False
171,Thailand,THA,7,9295.5703,0.73799998,68.65699768066406,11.39999961853027,6.4099998,21.5,4.122164249420166,False
172,Togo,TGO,4,1036.28,0.484,6.928999900817871,NaN,1.4400001,NaN,5.24687671661377,False
173,Tonga,TON,9,3962.0601,0.71799999,0.1040000021457672,NaN,0.95999998,30.200001,5.176770687103272,False
174,Trinidad and Tobago,TTO,10,22089.16,0.77899998,1.353999972343445,18.39999961853027,6.9400001,NaN,5.933197021484375,False
175,United Arab Emirates,ARE,3,20310.109,0.83600003,NaN,7.199999809265137,1.91,NaN,3.643985748291016,True
176,Tunisia,TUN,3,6912.2798,0.72299999,NaN,13.80000019073486,1.39,NaN,7.003858089447022,True
177,Turkey,TUR,3,16900.711,0.764,77.69599914550781,12.19999980926514,1.45,27.0,5.41495943069458,False
178,Turkmenistan,TKM,1,13217.39,0.68800002,NaN,NaN,2.9000001,NaN,2.067386150360107,True
179,Tuvalu,TUV,9,3174.05,NaN,0.0109999999403954,NaN,1.34,NaN,16.5366382598877,False
180,Uganda,UGA,4,1343.45,0.48800001,37.59999847412109,45.40000152587891,10.22,10.3,7.222136974334717,False
181,Ukraine,UKR,1,9326.7197,0.74800003,42.7599983215332,9.199999809265137,8.0600004,30.700001,7.095736026763916,False
182,Macedonia,MKD,1,9610.5996,0.74599999,2.069000005722046,6.5,1.13,NaN,6.476374626159668,False
183,Egypt,EGY,3,5598.2598,0.68800002,86.69999694824219,17.89999961853027,0.20999999,23.799999,5.642115116119385,False
184,United Kingdom,GBR,5,34791.051,0.90799999,64.59700012207031,4.099999904632568,10.37,20.299999,9.115471839904783,False
185,Tanzania,TZA,4,1416.3,0.51899999,43.88000106811523,37.70000076293945,4.1999998,16.299999,5.580115795135498,False
186,United States,USA,5,47769.699,0.91799998,318.7890014648438,6.0,8.8199997,18.1,17.14075469970703,False
187,Burkina Faso,BFA,4,1095.96,0.39899999,16.5,65.80000305175781,4.6399999,19.1,4.960263252258301,False
188,Uruguay,URY,2,12804.84,0.79400003,3.453999996185303,6.199999809265137,6.0300002,24.799999,8.581491470336914,False
189,Uzbekistan,UZB,1,7370.7202,0.69700003,29.74600028991699,NaN,2.8299999,13.3,5.838521957397461,False
190,Venezuela,VEN,2,10513.96,0.76899999,NaN,13.10000038146973,6.4699998,NaN,5.256702423095703,True
191,Samoa,WSM,9,3167.75,0.70200002,0.1920000016689301,NaN,2.1500001,32.0,7.215108871459961,False
192,Yemen,YEM,3,2170.9299,0.49900001,NaN,46.29999923706055,0.039999999,NaN,5.636990070343018,True
193,Zambia,ZMB,4,1916.79,0.57599998,NaN,56.40000152587891,2.4100001,15.9,4.986764907836914,True
