,cname,ccodealp,ht_region,gle_cgdpc,undp_hdi,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners,flagnull
95,Lesotho,LSO,4,1539.79,0.495,NaN,7.400000095367432,4.053547382354736,NaN,35.21265029907227,False
96,Latvia,LVA,1,16583.67,0.82800001,2.000999927520752,4.400000095367432,3.764238119125366,5.285240173339844,94.276611328125,False
97,Liberia,LBR,4,488.26999,0.42699999,NaN,6.599999904632568,3.472222328186035,2.757560014724731,NaN,False
98,Libya,LBY,3,4102.8398,0.71899998,6.265999794006348,6.400000095367432,1.874972462654114,NaN,NaN,False
99,Liechtenstein,LIE,5,102243.52,0.91100001,NaN,NaN,NaN,2.556040048599243,91.53871917724608,True
100,Lithuania,LTU,1,17559.75,0.84600002,2.931999921798706,4.199999809265137,3.930860996246338,4.612500190734863,96.36762237548828,False
101,Luxembourg,LUX,5,61404.48,0.89600003,0.550000011920929,2.099999904632568,4.580255031585693,4.083879947662354,84.60346984863281,False
102,Madagascar,MDG,4,822.62,0.51099998,NaN,6.099999904632568,2.968793392181397,2.082040071487427,31.08041000366211,False
103,Malawi,MWI,4,938.34998,0.47299999,17.60400009155273,8.100000381469727,3.185531854629517,4.842539787292481,32.94229125976563,False
104,Malaysia (1966-),MYS,7,12284.27,0.787,30.70899963378906,4.5,5.258416175842285,5.195930004119873,67.99771881103516,False
105,Maldives,MDV,8,13349.76,0.70099998,0.335999995470047,5.599999904632568,NaN,4.146959781646729,NaN,True
106,Mali,MLI,4,1063.26,0.43799999,14.85400009155273,8.399999618530273,3.003276109695435,3.739289999008179,34.6161003112793,False
107,Malta,MLT,5,24094.641,0.85299999,0.425000011920929,4.0,5.026020526885986,7.848999977111816,88.06436157226562,False
108,Mauritania,MRT,4,2223.01,0.51300001,3.36899995803833,6.300000190734863,2.671667814254761,2.93011999130249,23.10231971740723,False
109,Mauritius,MUS,4,10944.54,0.77899998,1.261000037193298,4.199999809265137,4.234806537628174,4.91772985458374,83.88175964355469,False
110,Mexico,MEX,2,13609.42,0.75800002,119.7129974365234,5.800000190734863,2.814059019088745,5.313479900360107,67.40973663330078,False
111,Monaco,MCO,5,108481.13,NaN,NaN,NaN,NaN,1.021950006484985,NaN,True
112,Mongolia,MNG,6,6277.8999,0.73299998,2.881999969482422,3.099999904632568,2.909875631332398,4.599870204925537,NaN,False
113,Moldova,MDA,1,4207.8701,0.70099998,3.555000066757202,6.400000095367432,3.163065433502197,7.467840194702148,76.86421203613281,False
114,Montenegro,MNE,1,14538.52,0.80400002,0.621999979019165,3.599999904632568,4.25305986404419,NaN,NaN,False
115,Morocco,MAR,3,3999.5601,0.64499998,33.17900085449219,7.599999904632568,3.170891284942627,NaN,56.14244842529297,False
116,Mozambique,MOZ,4,852.39001,0.414,25.73299980163574,7.400000095367432,2.77046012878418,6.483220100402832,19.43997955322266,False
117,Oman,OMN,3,26158.73,0.79500002,3.717000007629395,1.899999976158142,3.535049200057983,4.960380077362061,94.32984161376952,False
118,Namibia,NAM,4,4521.29,0.63700002,NaN,6.5,3.05289626121521,NaN,NaN,False
119,Nauru,NRU,9,3130.47,NaN,0.0120000001043081,NaN,NaN,NaN,71.94534301757812,True
120,Nepal,NPL,8,1462.08,0.55500001,28.17499923706055,7.0,3.591810703277588,3.981300115585327,59.67913055419922,False
121,Netherlands,NLD,5,42258.352,0.92299998,16.86499977111816,2.599999904632568,5.304530620574951,5.529379844665527,93.88201904296876,False
122,Vanuatu,VUT,9,2877.01,0.59799999,0.2569999992847443,NaN,NaN,4.910830020904541,49.49629974365234,True
123,New Zealand,NZL,5,26481.369,0.91299999,4.554999828338623,2.099999904632568,5.318371295928955,6.33680009841919,96.44001770019533,False
124,Nicaragua,NIC,2,2527.1001,0.64200002,5.946000099182129,8.100000381469727,2.655974626541138,NaN,NaN,False
125,Niger,NER,4,644.53998,0.35100001,NaN,6.900000095367432,NaN,6.709410190582275,15.66504001617432,True
126,Nigeria,NGA,4,2246.8201,0.52499998,160.3419952392578,7.099999904632568,2.85273027420044,NaN,NaN,False
127,Norway,NOR,5,57634.77,0.94800001,5.156000137329102,1.600000023841858,5.048264026641846,7.373290061950684,95.2019271850586,False
128,Micronesia,FSM,9,2624.05,0.63700002,0.1019999980926514,9.0,NaN,12.46774959564209,NaN,True
129,Marshall Islands,MHL,9,2833.97,NaN,0.0540000014007092,NaN,NaN,NaN,64.4613037109375,True
130,Palau,PLW,9,9392.5996,0.78299999,0.0179999992251396,NaN,NaN,NaN,70.16300201416016,True
131,Pakistan (1971-),PAK,8,2855.55,0.54799998,186.1900024414063,7.0,3.381112337112427,2.464349985122681,41.17535018920898,False
132,Panama,PAN,2,15137.04,0.78500003,3.788000106811523,4.0,3.523098230361939,3.187720060348511,77.83374786376953,False
133,Papua New Guinea,PNG,9,1693.54,0.51499999,6.880000114440918,7.099999904632568,NaN,NaN,NaN,True
134,Paraguay,PRY,2,4812.9199,0.69199997,6.559000015258789,5.199999809265137,2.324439764022827,4.955399990081787,66.45951843261719,False
135,Peru,PER,2,9227.1504,0.73699999,30.80900001525879,6.699999809265137,2.538634538650513,3.689779996871948,78.37956237792969,False
136,Philippines,PHL,7,3953.1001,0.67900002,100.1490020751953,6.199999809265137,4.54694414138794,NaN,67.44245910644531,False
137,Poland,POL,1,19990.939,0.852,38.01800155639648,4.400000095367432,3.566189289093018,4.911749839782715,92.548828125,False
138,Portugal,PRT,5,23744.631,0.84100002,10.40100002288818,2.200000047683716,4.273322582244873,5.125589847564697,93.03502655029295,False
139,Guinea-Bissau,GNB,4,961.26001,0.421,NaN,8.5,NaN,2.173130035400391,NaN,True
140,Timor-Leste,TLS,7,1957.8101,0.60299999,1.146000027656555,7.0,2.449350833892822,7.775000095367432,51.84904861450195,False
141,Qatar,QAT,3,104049.44,0.85500002,2.045000076293945,3.099999904632568,5.820522308349609,3.607189893722534,72.4646224975586,False
142,Romania,ROU,1,14563.14,0.79799998,19.95299911499023,4.5,3.833498477935791,3.129179954528809,83.92993927001953,False
143,Russia,RUS,1,19063.689,0.80500001,143.4290008544922,4.5,3.476519107818604,3.861330032348633,NaN,False
144,Rwanda,RWA,4,1440.39,0.493,10.19999980926514,7.5,4.037596225738525,3.797460079193115,27.23918914794922,False
145,St Kitts and Nevis,KNA,10,11237.75,0.76200002,NaN,NaN,NaN,2.784240007400513,82.93193817138672,True
146,St Lucia,LCA,10,11095.8,0.73500001,0.1669999957084656,NaN,NaN,4.901659965515137,77.71405792236328,True
147,St Vincent and the Grenadines,VCT,10,7454.8799,0.72000003,0.1099999994039536,NaN,NaN,NaN,NaN,True
148,San Marino,SMR,5,42664.211,NaN,0.034000001847744,NaN,NaN,2.383729934692383,NaN,True
149,Sao Tome and Principe,STP,4,2150.55,0.565,NaN,7.900000095367432,NaN,3.7568199634552,64.42681121826172,True
150,Saudi Arabia,SAU,3,20872.711,0.84500003,30.77000045776367,3.700000047683716,4.109292984008789,NaN,87.83480834960938,False
151,Senegal,SEN,4,1527.99,0.491,NaN,7.400000095367432,3.760167360305786,7.396200180053711,NaN,False
152,Serbia,SRB,1,11343.92,0.77499998,7.166999816894531,5.300000190734863,3.058158874511719,4.178609848022461,92.20523071289064,False
153,Seychelles,SYC,4,9583.3203,0.78100002,0.0900000035762787,5.5,4.323356151580811,3.60644006729126,74.57037353515625,False
154,Sierra Leone,SLE,4,979.95001,0.43099999,6.23199987411499,8.399999618530273,2.986086368560791,2.661669969558716,NaN,False
155,Singapore,SGP,7,54268.148,0.92400002,5.46999979019165,3.299999952316284,5.797279357910156,2.91579008102417,NaN,False
156,Slovakia,SVK,1,21776.34,0.84200001,5.415999889373779,4.199999809265137,2.762844562530518,4.238560199737549,NaN,False
157,Vietnam,VNM,7,4147.5698,0.67799997,89.69100189208984,5.599999904632568,3.336011409759522,5.658730030059815,NaN,False
158,Slovenia,SVN,1,24456.561,0.88800001,2.061000108718872,2.799999952316284,4.07301139831543,5.486589908599854,94.94590759277344,False
159,Somalia,SOM,4,1436.74,NaN,NaN,9.199999809265137,NaN,NaN,NaN,True
160,South Africa,ZAF,4,8820.0596,0.66500002,54.14699935913086,4.900000095367432,2.218669414520264,6.029550075531006,NaN,False
161,Zimbabwe,ZWE,4,15997.67,0.50700003,12.45899963378906,8.0,4.20008134841919,8.429329872131348,44.23696899414063,False
